OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
药水学识,,,24878,0,4624657,0,0
空气公式药水,,,24879,0,4497566,0,0
冰霜公式药水,,,24880,0,4497591,0,0
药水精通,,专精于有效率地制作药水，以及制作高品质的药水。,24881,0,4497592,0,0
,,奇思突破使制作炼金商品消耗的专注额外返还$ev1%。,24882,0,0,0,0
,,制作炼金商品时，+$ev1 $en1。,24883,0,0,0,0
,,奇思突破使制作炼金商品消耗的专注额外返还$ev1%。,24884,0,0,0,0
,,制作炼金商品时，+$ev1 $en1。,24885,0,0,0,0
,,奇思突破使制作炼金商品消耗的专注额外返还$ev1%。,24886,0,0,0,0
,,制作炼金商品时，+$ev1 $en1。,24887,0,0,0,0
,,奇思突破使制作炼金商品消耗的专注额外返还$ev1%。,24888,0,0,0,0
激励氛围,,成为灵感更丰富的炼金师，每有一点此专精，获得+$ev1 $en1。 ,24889,0,413583,0,0
,,制作炼金商品时，充裕属性额外节省$ev1%的材料。,24890,0,0,0,0
,,制作炼金商品时，+$ev1 $en1。,24891,0,0,0,0
,,制作炼金商品时，充裕属性额外节省$ev1%的材料。,24892,0,0,0,0
,,制作炼金商品时，+$ev1 $en1。,24893,0,0,0,0
,,制作炼金商品时，充裕属性额外节省$ev1%的材料。,24894,0,0,0,0
,,制作炼金商品时，+$ev1 $en1。,24895,0,0,0,0
,,制作炼金商品时，充裕属性额外节省$ev1%的材料。,24896,0,0,0,0
惯常充裕,,更经济地使用材料，每有一点此专精，获得+$ev1 $en1。 ,24897,0,4497599,0,0
,,饮用毒素药水和瓶剂的副作用额外降低最多25%。,24898,0,0,0,0
,,制作腐朽配方时，+$ev1 $en1。,24899,0,0,0,0
,,学习将觉醒腐朽转化为各种活力元素。,24900,370714,0,0,0
,,制作腐朽配方时，+$ev1 $en1。,24901,0,0,0,0
,,饮用毒素药水和瓶剂的副作用降低最多25%。,24902,0,0,0,0
,,制作腐朽配方时，+$ev1 $en1。,24903,0,0,0,0
,,你现在可以在药水和瓶剂实验中发现使用腐朽作为材料的配方。,24904,0,0,0,0
腐朽研究,,深入探索活力腐朽和觉醒腐朽的奥秘，每有一点此专精，获得+$ev1 $en1。,24905,0,4554327,0,0
,,产能提供最多$ev1%额外材料和熏香。,24906,0,0,0,0
,,学习制作和使用$@spellname370735成品材料，在制作炼金材料和熏香时提升技能。,24907,370735,0,0,0
,,制作材料和熏香时，+$ev1 $en1。,24908,0,0,0,0
,,制作材料和熏香时，+$ev1 $en1。,24909,0,0,0,0
,,学习制作龙巢之盐，这是一种成品材料，可以提高奇思。|n|n制作材料和熏香时，+$ev1%$en1。,24910,370730,0,0,0
,,制作材料和熏香时，+$ev1 $en1。,24911,0,0,0,0
,,制作材料和熏香时，+$ev1 $en1。,24912,0,0,0,0
,,制作材料和熏香时，+$ev1 $en1。,24913,0,0,0,0
,,制作材料和熏香时，+$ev1 $en1。,24914,0,0,0,0
化学合成,,提高制作炼金材料和熏香这些特殊配方的能力，每有一点此专精，制作这些配方时获得+$ev1 $en1。,24915,0,3615504,0,0
,,提升你对转化的理解，使你可以更频繁地转化，而且转化的数量得到提升。,24916,394207,0,0,0
,,进行转化时，+$ev1% $en1。,24917,0,0,0,0
,,学习将觉醒秩序转化为对应的熵能元素。,24918,370715,0,0,0
,,进行转化时，+$ev1% $en1。,24919,0,0,0,0
,,进行转化时，+$ev1% $en1。,24920,0,0,0,0
转化,,掌握转化的流程，每有一点此专精，此类制作获得+$ev1 $en1。,24921,0,4554441,0,0
,,制作炼金商品时，+$ev1 $en1 和 +$ev2 $en2。|n|n炼金制作速度提高$ev3%。,24922,0,0,0,0
,,学习最终副专精。,24923,0,0,0,0
,,制作炼金商品时，+$ev1 $en1。,24924,0,0,0,0
,,学习你选择的一个副专精。,24925,0,0,0,0
,,制作炼金商品时，+$ev1 $en1。,24926,0,0,0,0
,,学习你选择的一个副专精。,24927,0,0,0,0
,,制作炼金商品时，+$ev1% $en1。,24928,0,0,0,0
,,学习你选择的一个副专精。,24929,0,0,0,0
,,制作炼金商品时，+$ev1 $en1。,24930,0,0,0,0
,,学习你选择的一个副专精。,24931,0,0,0,0
,,制作炼金商品时，+$ev1 $en1。,24932,0,0,0,0
炼金理论,,提升制作炼金产品的能力，每有一点此专精，所有配方都获得+$ev1 $en1。,24933,0,4624375,0,0
激励氛围,,,24934,0,413583,0,0
惯常充裕,,,24935,0,4497599,0,0
腐朽研究,,,24936,0,4554327,0,0
化学合成,,,24937,0,3615504,0,0
转化,,,24938,0,4554441,0,0
炼金理论,,提升炼金基本功，使你的许多产品获得各种增益。,24939,0,4624375,0,0
,,产能提供最多$ev1%额外瓶剂。,28440,0,0,0,0
,,制作瓶剂时，+$ev1% $en1。,28441,0,0,0,0
,,制作瓶剂时，+$ev1 $en1。,28442,0,0,0,0
,,制作瓶剂时，+$ev1% $en1。,28443,0,0,0,0
,,制作瓶剂时，+$ev1 $en1。,28444,0,0,0,0
批量生产,,掌握更有效率地生产瓶剂的技术，每有一点此专精，获得+$ev1 $en1。,28445,0,4624377,0,0
,,学习$@spellname370747，可以生产更高品质的瓶剂，并提高你发现新配方的几率。,28446,370747,0,0,0
,,进行瓶剂实验时，获得5%的突破几率。,28447,0,0,0,0
,,你只要达成一次瓶剂实验的重大突破，制作所有炼金配方就会获得+20奇思，持续4小时。,28448,0,0,0,0
,,进行瓶剂实验时，获得5%的突破几率。,28449,0,0,0,0
,,进行瓶剂实验时，获得10%的突破几率。,28450,0,0,0,0
瓶剂实验,,提升你对材料的理解，你的实验获得满意效果的可能性提高，每有一点此专精，瓶剂实验获得+1%额外突破几率。,28451,0,4624380,0,0
,,学习制作和使用$@spellname370735成品材料，在制作维系炼金石时提升技能。,28452,370735,0,0,0
,,学习最终副专精。,28453,0,0,0,0
,,制作瓶剂时，+$ev1 $en1。,28454,0,0,0,0
,,学习你选择的一个副专精。,28455,0,0,0,0
,,制作瓶剂时，+$ev1 $en1。,28456,0,0,0,0
,,制作瓶剂时，+$ev1 $en1。,28457,0,0,0,0
瓶剂学识,,深入探索瓶剂和相关炼金石的奥秘，每有一点此专精，获得+$ev1 $en1。,28458,0,4624658,0,0
,,学习制作和使用$@spellname370735成品材料，在制作空气公式瓶剂时提升技能。,28459,370735,0,0,0
,,制作空气公式瓶剂时，+$ev1 $en1。,28460,0,0,0,0
,,制作空气公式瓶剂时，+$ev1 $en1。,28461,0,0,0,0
,,制作空气公式瓶剂时，+$ev1 $en1。,28462,0,0,0,0
,,制作空气公式瓶剂时，+$ev1 $en1。,28463,0,0,0,0
,,制作空气公式瓶剂时，+$ev1 $en1。,28464,0,0,0,0
,,空气公式瓶剂持续时间延长30分钟。,28465,0,0,0,0
空气公式瓶剂,,提高制作以活力或觉醒之气作为基础材料的瓶剂的能力，每有一点此专精，获得+$ev1 $en1。,28466,0,4497584,0,0
,,学习制作和使用$@spellname370735成品材料，在制作冰霜公式瓶剂时提升技能。,28467,370735,0,0,0
,,制作冰霜公式瓶剂时，+$ev1 $en1。,28468,0,0,0,0
,,制作冰霜公式瓶剂时，+$ev1 $en1。,28469,0,0,0,0
,,制作冰霜公式瓶剂时，+$ev1 $en1。,28470,0,0,0,0
,,制作冰霜公式瓶剂时，+$ev1 $en1。,28471,0,0,0,0
,,制作冰霜公式瓶剂时，+$ev1 $en1。,28472,0,0,0,0
,,冰霜公式瓶剂持续时间延长30分钟。,28473,0,0,0,0
冰霜公式瓶剂,,提高制作以活力或觉醒之霜作为基础材料的瓶剂的能力，每有一点此专精，获得+$ev1 $en1。,28474,0,4497573,0,0
,,学习最终副专精。|n|n学习在瓶剂和维系炼金石配方中使用催化剂成品材料。,28475,0,0,0,0
,,制作瓶剂时，+$ev1 $en1。,28476,0,0,0,0
,,学习你选择的一个副专精。,28477,0,0,0,0
,,回收瓶剂获得额外的炼金溶液。,28478,0,0,0,0
,,学习你选择的一个副专精。,28479,0,0,0,0
,,制作瓶剂时，+$ev1 $en1。,28480,0,0,0,0
,,巨龙群岛瓶剂持续时间延长30分钟。,28481,0,0,0,0
瓶剂精通,,提高制作瓶剂和相关炼金石的能力，每有一点此专精，获得+$ev1 $en1。,28482,0,4497574,0,0
批量生产,,,28483,0,4624377,0,0
瓶剂实验,,,28484,0,4624380,0,0
瓶剂学识,,,28485,0,4624658,0,0
空气公式瓶剂,,,28486,0,4497584,0,0
冰霜公式瓶剂,,,28487,0,4497573,0,0
瓶剂精通,,专精于有效率地制作瓶剂，以及制作高品质的瓶剂。,28488,0,4497574,0,0
,,学习制造和使用大师之锤，从而免费修理斧头和长柄武器。,29891,393853,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作斧、镐和长柄武器时提升技能。,29892,376700,0,0,0
,,制作斧、镐和长柄武器时，+$ev1 $en1。,29893,0,0,0,0
,,制作斧、镐和长柄武器时，+$ev1 $en1。,29894,0,0,0,0
,,学习制作$@spellname371366。,29895,371366,0,0,0
,,制作斧、镐和长柄武器时，+$ev1 $en1。,29896,0,0,0,0
,,学习制作$@spellname365734。,29897,365734,0,0,0
斧、镐和长柄武器,,提高制做斧、镐和长柄武器的能力，每有一点此专精，获得+1制作技能。,29898,0,4059376,0,0
,,学习制造和使用大师之锤，从而免费修理锤子。,29899,393853,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作锤时提升技能。,29900,376700,0,0,0
,,制作锤时，+$ev1 $en1。,29901,0,0,0,0
,,制作锤时，+$ev1 $en1。,29902,0,0,0,0
,,学习制作$@spellname371412。,29903,371412,0,0,0
,,制作锤时，+$ev1 $en1。,29904,0,0,0,0
,,学习制作$@spellname367586。,29905,367586,0,0,0
锤,,提高制作锤的能力，每有一点此专精，获得+1制作技能。,29906,0,4529128,0,0
,,学习在各种带柄武器和工具设计图中使用淬火液体成品材料。,29907,0,0,0,0
,,制作带柄武器和工具时，+$ev1 $en1。,29908,0,0,0,0
,,学习最终副专精。,29909,0,0,0,0
,,制作带柄武器和工具时，+$ev1 $en1。,29910,0,0,0,0
,,学习你选择的一个副专精。,29911,0,0,0,0
,,制作带柄武器和工具时，+$ev1 $en1。,29912,0,0,0,0
,,学习使用附加材料来指定许多带柄武器设计图的副属性。,29913,0,0,0,0
握柄,,提高制作带柄武器和工具，如斧和锤的能力，每有一点此专精，获得+$ev1 $en1。,29914,0,4624387,0,0
,,学习制造和使用大师之锤，从而免费修理长刃。,29915,393853,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作长刃时提升技能。,29916,376700,0,0,0
,,制作长刃时，+$ev1 $en1。,29917,0,0,0,0
,,制作长刃时，+$ev1 $en1。,29918,0,0,0,0
,,制作长刃时，+$ev1 $en1。,29919,0,0,0,0
,,学习制作$@spellname365729。,29920,365729,0,0,0
,,学习制作$@spellname367585。,29921,367585,0,0,0
长刃,,提高制作长刃武器和工具，如剑、战刃和镰刀的能力，每有一点此专精，获得+1制作技能。,29922,0,4044018,0,0
,,学习制造和使用大师之锤，从而免费修理短刃。,29923,393853,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作短刃时提升技能。,29924,376700,0,0,0
,,制作短刃时，+$ev1 $en1。,29925,0,0,0,0
,,制作短刃时，+$ev1 $en1。,29926,0,0,0,0
,,制作短刃时，+$ev1 $en1。,29927,0,0,0,0
,,学习制作$@spellname365731。,29928,365731,0,0,0
,,学习制作$@spellname365730。,29929,365730,0,0,0
短刃,,提高制作短刃武器和工具，包括匕首和拳套的能力，每有一点此专精，获得+$ev1 $en1。,29930,0,4189041,0,0
,,学习在各种利刃设计图中使用淬火液体成品材料。,29931,0,0,0,0
,,制作长刃和短刃时，+$ev1 $en1。,29932,0,0,0,0
,,学习最终副专精。,29933,0,0,0,0
,,制作长刃或短刃时，+$ev1 $en1。,29934,0,0,0,0
,,学习你选择的一个副专精。,29935,0,0,0,0
,,制作长刃和短刃时，+$ev1 $en1。,29936,0,0,0,0
,,学习使用附加材料来指定许多带刃武器设计图的副属性。,29937,0,0,0,0
利刃,,提高制作各种带刃武器和工具的能力，每有一点此专精，获得+$ev1 $en1。,29938,0,4624383,0,0
,,武器制作的速度提高$ev1%。|n|n制作武器和大型工具时，+$ev2 $en2 和 +$ev3 $en3。,29939,0,0,0,0
,,制作武器和大型工具时，+$ev1 $en1。,29940,0,0,0,0
,,学习最终副专精。,29941,0,0,0,0
,,制作武器和大型工具时，+$ev1 $en1。,29942,0,0,0,0
,,学习你选择的一个副专精。,29943,0,0,0,0
,,制作武器和大型工具时，+$ev1 $en1。,29944,0,0,0,0
,,学习使用附加材料来为大多数武器设计图提升物品等级。,29945,0,0,0,0
武器打造,,提高制作武器和大型工具的能力，每有一点此专精，获得+$ev1 $en1。,29946,0,4624393,0,0
斧、镐和长柄武器,,,29947,0,4059376,0,0
锤,,,29948,0,4529128,0,0
握柄,,,29949,0,4624387,0,0
长刃,,,29950,0,4044018,0,0
短刃,,,29951,0,4189041,0,0
利刃,,,29952,0,4624383,0,0
武器打造,,专精于制作和自定义武器以及工具。,29953,0,4624393,0,0
,,产能属性提供最多$ev1%额外合金和其他材料。,29954,0,0,0,0
,,熔炼合金和其他材料时，+$ev1 $en1。,29955,0,0,0,0
,,熔炼合金和其他材料时，+$ev1 $en1。,29956,0,0,0,0
,,熔炼合金和其他材料时，+$ev1 $en1。,29957,0,0,0,0
,,熔炼合金和其他材料时，+$ev1 $en1。,29958,0,0,0,0
熔炼,,成为熔炼合金和其他特殊材料的专家，每有一点此专精，获得+$ev1 $en1。,29959,0,4622288,0,0
,,产能属性提供最多$ev1%额外石制商品。,29960,0,0,0,0
,,制作石质商品时，+$ev1 $en1。,29961,0,0,0,0
,,制作石质商品时，+$ev1 $en1。,29962,0,0,0,0
,,制作石质商品时，+$ev1 $en1。,29963,0,0,0,0
,,制作石质商品时，+$ev1 $en1。,29964,0,0,0,0
石制品,,成为用石头制作武器和工具的强化物品的专家，每有一点此专精，获得+$ev1 $en1。,29965,0,4622275,0,0
,,学习对各种冒险装备使用淬火液体成品材料。,29966,0,0,0,0
,,制作冒险装备时，+$ev1 $en1。,29967,0,0,0,0
,,制作冒险装备时，+$ev1 $en1。,29968,0,0,0,0
,,[NYI]Learn to craft a $@spellname367605.,29969,0,0,0,0
,,制作冒险装备时，+$ev1 $en1。,29970,0,0,0,0
,,制作冒险装备时，+$ev1 $en1。,29971,0,0,0,0
,,制作冒险装备时，+$ev1 $en1。,29972,0,0,0,0
冒险装备,,成为制作钩爪之类的冒险装备的专家，每有一点此专精，获得+$ev1 $en1。,29973,0,4624386,0,0
,,学习对专业工具和配饰使用淬火液体成品材料。,29974,0,0,0,0
,,制作专业工具和配饰时，+$ev1 $en1。,29975,0,0,0,0
,,制作专业工具和配饰时，+$ev1 $en1。,29976,0,0,0,0
,,制作专业工具和配饰时，+$ev1 $en1。,29977,0,0,0,0
,,学习制作$@spellname371374。,29978,371374,0,0,0
,,制作专业工具和配饰时，+$ev1 $en1。,29979,0,0,0,0
,,制作专业工具和配饰时，+$ev1 $en1。,29980,0,0,0,0
工具打造,,成为为许多专业制作金属工具和配饰的专家，每有一点此专精，获得+$ev1 $en1。,29981,0,4374707,0,0
,,学习制作和使用$@spellname376700成品材料，在制作各类非军用商品时提升技能。,29982,376700,0,0,0
,,学习你选择的一个副专精。,29983,0,0,0,0
,,制作非军用商品时，+$ev1 $en1。,29984,0,0,0,0
,,制作非军用货物速度提高+$ev1%。,29985,0,0,0,0
,,制作非军用商品时，+$ev1 $en1。,29986,0,0,0,0
,,学习你选择的一个副专精。,29987,0,0,0,0
,,制作非军用商品时，+$ev1 $en1。,29988,0,0,0,0
,,学习你选择的一个副专精。,29989,0,0,0,0
,,制作非军用商品时，+$ev1 $en1。,29990,0,0,0,0
专业锻制,,提高制作非军用商品的能力，每有一点此专精，获得+$ev1 $en1。,29991,0,4622273,0,0
熔炼,,,29992,0,4622288,0,0
石制品,,,29993,0,4622275,0,0
冒险装备,,,29994,0,4624386,0,0
工具打造,,,29995,0,4374707,0,0
专业锻制,,专精于制作强化石、材料、合金、专业工具以及专业配饰。,29996,0,4622273,0,0
,,学习制造和使用大师之锤，从而免费修理手部板甲。,30046,393853,0,0,0
,,制作手部护甲时，+$ev1 $en1。,30047,0,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作手部护甲时提升技能。,30048,376700,0,0,0
,,制作手部护甲时，+$ev1 $en1。,30049,0,0,0,0
,,制作手部护甲时，+$ev1 $en1。,30050,0,0,0,0
,,制作手部护甲时，+$ev1 $en1。,30051,0,0,0,0
,,学习制作$@spellname367606。,30052,367606,0,0,0
护手,,成为制作手部板甲的专家，每有一点此专精，获得+$ev1 $en1。,30053,0,4615259,0,0
,,学习制造和使用大师之锤，从而免费修理腕部板甲。,30054,393853,0,0,0
,,制作腕部护甲时，+$ev1 $en1。,30055,0,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作腕部护甲时提升技能。,30056,376700,0,0,0
,,制作腕部护甲时，+$ev1 $en1。,30057,0,0,0,0
,,制作腕部护甲时，+$ev1 $en1。,30058,0,0,0,0
,,制作腕部护甲时，+$ev1 $en1。,30059,0,0,0,0
,,学习制作$@spellname367601。,30060,367601,0,0,0
臂甲,,成为制作腕部板甲的专家，每有一点此专精，获得+$ev1 $en1。,30061,0,4615256,0,0
,,学习制造和使用大师之锤，从而免费修理腰部板甲。,30062,393853,0,0,0
,,制作腰部护甲时，+$ev1 $en1。,30063,0,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作腰部护甲时提升技能。,30064,376700,0,0,0
,,制作腰部护甲时，+$ev1 $en1。,30065,0,0,0,0
,,制作腰部护甲时，+$ev1 $en1。,30066,0,0,0,0
,,制作腰部护甲时，+$ev1 $en1。,30067,0,0,0,0
,,学习制作$@spellname367602。,30068,367602,0,0,0
腰带,,成为制作腰部板甲的专家，每有一点此专精，获得+$ev1 $en1。,30069,0,4615254,0,0
,,学习最终副专精。|n|n学习在腰部、腕部和手部板甲设计图中使用淬火液体成品材料。,30070,0,0,0,0
,,制作腰部、腕部和手部护甲时，+$ev1 $en1。,30071,0,0,0,0
,,学习你选择的一个副专精。,30072,0,0,0,0
,,制作腰部、腕部和手部护甲时，+$ev1 $en1。,30073,0,0,0,0
,,学习你选择的一个副专精。,30074,0,0,0,0
,,制作腰部、腕部和手部护甲时，+$ev1 $en1。,30075,0,0,0,0
,,学习使用附加材料来指定许多腰部、腕部和手部护甲设计图的副属性。,30076,0,0,0,0
精致护甲,,提高制作最小型板甲，包括腰部、腕部和手部护甲的能力，每有一点此专精，获得+$ev1 $en1。,30077,0,4624385,0,0
,,学习制造和使用大师之锤，从而免费修理脚部板甲。,30078,393853,0,0,0
,,制作脚部护甲时，+$ev1 $en1。,30079,0,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作脚部护甲时提升技能。,30080,376700,0,0,0
,,制作脚部护甲时，+$ev1 $en1。,30081,0,0,0,0
,,制作脚部护甲时，+$ev1 $en1。,30082,0,0,0,0
,,制作脚部护甲时，+$ev1 $en1。,30083,0,0,0,0
,,学习制作$@spellname367607。,30084,367607,0,0,0
靴子,,成为制作脚部板甲的专家，每有一点此专精，获得+$ev1 $en1。,30085,0,4615255,0,0
,,学习制造和使用大师之锤，从而免费修理肩部板甲。,30086,393853,0,0,0
,,制作肩部护甲时，+$ev1 $en1。,30087,0,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作肩部护甲时提升技能。,30088,376700,0,0,0
,,制作肩部护甲时，+$ev1 $en1。,30089,0,0,0,0
,,制作肩部护甲时，+$ev1 $en1。,30090,0,0,0,0
,,制作肩部护甲时，+$ev1 $en1。,30091,0,0,0,0
,,学习制作$@spellname367603。,30092,367603,0,0,0
肩铠,,成为制作肩部板甲的专家，每有一点此专精，获得+$ev1 $en1。,30093,0,4615262,0,0
,,学习制造和使用大师之锤，从而免费修理头部板甲。,30094,393853,0,0,0
,,制作头部护甲时，+$ev1 $en1。,30095,0,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作头部护甲时提升技能。,30096,376700,0,0,0
,,制作头部护甲时，+$ev1 $en1。,30097,0,0,0,0
,,制作头部护甲时，+$ev1 $en1。,30098,0,0,0,0
,,制作头部护甲时，+$ev1 $en1。,30099,0,0,0,0
,,学习制作$@spellname367605。,30100,367605,0,0,0
头盔,,成为制作板甲头盔的专家，每有一点此专精，获得+$ev1 $en1。,30101,0,4615260,0,0
,,学习最终副专精。|n|n学习在塑造板甲设计图中使用淬火液体成品材料。,30102,0,0,0,0
,,制作头部、肩部和脚部护甲时，+$ev1 $en1。,30103,0,0,0,0
,,学习你选择的一个副专精。,30104,0,0,0,0
,,制作头部、肩部和脚部护甲时，+$ev1 $en1。,30105,0,0,0,0
,,学习你选择的一个副专精。,30106,0,0,0,0
,,制作头部、肩部和脚部护甲时，+$ev1 $en1。,30107,0,0,0,0
,,学习使用附加材料来指定许多塑造板甲设计图的副属性。,30108,0,0,0,0
塑造护甲,,提高制作头部、肩部和脚部塑形护甲的能力，每有一点此专精，获得+$ev1 $en1。,30109,0,4624391,0,0
,,学习制造和使用大师之锤，从而免费修理盾牌。,30110,393853,0,0,0
,,制作盾牌时，+$ev1 $en1。,30111,0,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作盾牌时提升技能。,30112,376700,0,0,0
,,制作盾牌时，+$ev1 $en1。,30113,0,0,0,0
,,制作盾牌时，+$ev1 $en1。,30114,0,0,0,0
,,制作盾牌时，+$ev1 $en1。,30115,0,0,0,0
,,学习制作$@spellname367622。,30116,367622,0,0,0
盾牌,,成为制作盾牌的专家，每有一点此专精，获得+$ev1 $en1。,30117,0,4614006,0,0
,,学习制造和使用大师之锤，从而免费修理板甲护胫。,30118,393853,0,0,0
,,制作腿部护甲时，+$ev1 $en1。,30119,0,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作腿部护甲时提升技能。,30120,376700,0,0,0
,,制作腿部护甲时，+$ev1 $en1。,30121,0,0,0,0
,,制作腿部护甲时，+$ev1 $en1。,30122,0,0,0,0
,,制作腿部护甲时，+$ev1 $en1。,30123,0,0,0,0
,,学习制作$@spellname367604。,30124,367604,0,0,0
护胫,,成为制作腿部板甲的专家，每有一点此专精，获得+$ev1 $en1。,30125,0,4615261,0,0
,,学习制造和使用大师之锤，从而免费修理胸部板甲。,30126,393853,0,0,0
,,制作胸甲时，+$ev1 $en1。,30127,0,0,0,0
,,学习制作和使用$@spellname376700成品材料，在制作胸部护甲时提升技能。,30128,376700,0,0,0
,,制作胸甲时，+$ev1 $en1。,30129,0,0,0,0
,,制作胸甲时，+$ev1 $en1。,30130,0,0,0,0
,,制作胸甲时，+$ev1 $en1。,30131,0,0,0,0
,,学习制作$@spellname367608。,30132,367608,0,0,0
胸甲,,成为制作胸部板甲的专家，每有一点此专精，获得+$ev1 $en1。,30133,0,4615258,0,0
,,学习最终副专精。|n|n学习在大型板甲设计图中使用淬火液体成品材料。,30134,0,0,0,0
,,制作胸部、腿部护甲和盾牌时，+$ev1 $en1。,30135,0,0,0,0
,,学习你选择的一个副专精。,30136,0,0,0,0
,,制作胸部、腿部护甲和盾牌时，+$ev1 $en1。,30137,0,0,0,0
,,学习你选择的一个副专精。,30138,0,0,0,0
,,制作胸部、腿部护甲和盾牌时，+$ev1 $en1。,30139,0,0,0,0
,,学习使用附加材料来指定许多大型板甲设计图的副属性。,30140,0,0,0,0
大型板甲,,提高制作最大的护甲部位，包括胸部、腿部以及盾牌的能力，每有一点此专精，获得+$ev1 $en1。,30141,0,4624389,0,0
,,学习最终副专精。|n|n护甲制作的速度提高$ev1%。|n|n制作板甲时，+$ev2 $en2 和 +$ev3 $en3。,30142,0,0,0,0
,,制作板甲时，+$ev1 $en1。,30143,0,0,0,0
,,学习你选择的一个副专精。,30144,0,0,0,0
,,制作板甲时，+$ev1 $en1。,30145,0,0,0,0
