ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,InstanceType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
848,AI Test - Arathi Basin,,,,3,0,0,10,8,15,1,15,12812,1,0,0
849,深風峽谷籃球賽,亂鬥,,,3,50,80,10,8,15,1,5,0,32,875925,0
853,影潘決戰場,亂鬥,,,4,50,80,5,0,5,1,5,0,96,0,0
856,[TEMP] RaceTrackBG,資源戰,,,3,0,0,10,5,10,1,5,0,1,875925,0
857,黑石山之戰,,,,3,0,0,0,2,2,1,2,0,33,136326,0
858,熱力魔古神廟,亂鬥,,,3,50,80,10,1,10,1,5,0,32,791651,0
859,重力流逝,亂鬥,,,3,50,80,15,8,15,1,5,0,32,525912,0
860,深風峽谷籃球賽,亂鬥,,,3,50,80,10,8,15,1,5,0,32,875925,0
861,戰歌大亂鬥,亂鬥,,,3,50,80,10,5,10,1,5,0,32,136365,0
862,號角之眼,亂鬥,,,3,50,80,15,8,15,1,5,0,32,525912,0
866,所有競技場,亂鬥,,,3,50,80,5,8,15,1,5,0,96,525915,0
868,羅德隆廢墟,,,,3,50,80,5,0,15,1,5,0,96,460869,0
869,達拉然下水道,,,,3,50,80,5,0,15,1,5,0,96,460862,0
870,托維恩競技場,,,,3,50,80,5,0,15,1,5,0,96,791652,0
871,猛虎峰,,,,3,50,80,5,0,15,1,5,0,96,875926,0
872,玄鴉堡競技場,,,,3,50,80,5,0,15,1,5,0,96,1389174,0
873,納葛蘭競技場,,,,3,50,80,5,0,15,1,5,0,96,460867,0
874,亞夏曼之殞,,,,3,50,80,5,0,15,1,5,0,96,1389175,0
875,劍刃競技場,,,,3,50,80,5,0,15,1,5,0,96,460861,0
878,AI Test - Warsong Gulch,,,,3,0,0,10,5,10,1,10,0,1,0,0
879,六人對戰,亂鬥,,,3,50,80,6,5,6,1,6,0,32,0,0
880,阿拉希盆地,亂鬥,,,3,50,80,6,6,6,1,6,0,32,0,0
881,深風峽谷,亂鬥,,,3,50,80,6,6,6,1,6,0,32,0,0
882,暴風之眼,亂鬥,,,3,50,80,6,6,6,1,6,0,32,0,0
883,碎銀礦坑,亂鬥,,,3,50,70,6,6,6,1,6,0,32,0,0
884,科特魔古神廟,亂鬥,,,3,50,70,6,6,6,1,6,0,32,0,0
885,吉爾尼斯之戰,亂鬥,,,3,50,80,6,6,6,1,6,0,32,0,0
886,戰歌峽谷,亂鬥,,,3,50,80,6,6,6,1,6,0,32,0,0
887,不可能的飪物,,,,3,50,80,10,5,10,1,5,0,32,875925,0
890,騰湧灘頭,資源戰,,,3,0,0,10,8,15,1,5,0,1,875925,0
893,8.0 BG Temp,資源戰,,,3,0,0,10,8,15,1,5,0,1,875925,0
894,騰湧海岸,資源競爭,,,3,40,80,10,5,10,1,5,0,24,1864730,0
897,勾角地,,,,4,10,80,5,0,5,1,5,0,8,0,0
901,隨機史詩戰場,,,,3,20,80,0,5,40,1,5,0,0,0,0
903,穆干巴拉,,,,4,10,80,5,0,5,1,5,0,8,0,0
904,亂鬥 - 所有競技場,,,,4,50,80,3,3,3,1,3,0,32,525915,0
1014,戰歌峽谷,佔領旗幟,,,3,10,80,10,5,10,1,5,1942,24,136365,0
1017,冬握湖戰鬥,史詩戰場,,,3,20,80,25,10,40,1,5,0,152,136324,0
1018,阿拉希盆地,資源戰,,,3,10,80,10,8,15,1,5,1943,24,136322,0
1019,阿拉希盆地：對抗電腦,,,,3,0,0,15,1,15,1,15,0,0,0,0
1020,艾斯蘭,史詩戰場,,,3,20,80,35,10,35,1,5,0,152,1398842,0
1021,經典艾斯蘭,無盡史詩戰場,,,3,20,80,25,10,25,1,5,1941,40,1398842,0
1022,阿拉希盆地,亂鬥,,,3,50,80,10,8,15,1,5,0,32,136322,0
1025,超爆機械鬥場,,,,4,20,80,5,0,5,1,5,0,8,0,0
1029,隨機戰場,,,,3,10,60,25,5,40,1,5,0,1,525915,0
1030,冬握湖戰鬥,史詩戰場,,,3,50,80,25,10,40,1,5,0,32,136324,0
1031,Programmer Map - Battlefield,,,,3,0,0,0,1,20,0,0,0,0,0,0
1033,科爾拉克復仇之地,限時活動,,,3,20,70,25,10,40,1,40,1941,0,136324,0
1036,史詩戰場 - 阿拉希戰爭前線 (PvP),,,,3,0,0,40,10,40,1,5,0,1,0,0
1037,深風峽谷,佔領據點,,,3,40,80,10,8,15,1,5,0,24,875925,0
1039,深風峽谷,佔領據點,,,3,50,80,10,8,15,1,5,0,32,875925,0
1041,蒼穹領域,,,,4,60,80,5,0,5,1,5,0,8,0,0
1047,穆干巴拉,,,,4,50,80,5,0,15,1,5,0,32,0,0
1048,超爆機械鬥場,,,,4,50,80,5,0,15,1,5,0,32,0,0
1049,Hook Point,,,,4,50,80,5,0,15,1,5,0,32,0,0
1050,蒼穹領域,,,,4,50,80,5,0,15,1,5,0,32,0,0
1053,穆干巴拉,,,,4,10,80,6,6,6,0,3,0,76,0,0
1054,亞夏曼之殞,,,,4,10,80,6,6,6,0,3,0,76,1389175,0
1055,托維恩競技場,,,,4,10,80,6,6,6,0,3,0,76,791652,0
1056,超爆機械鬥場,,,,4,10,80,6,6,6,0,3,0,76,0,0
1057,猛虎峰,,,,4,10,80,6,6,6,0,3,0,76,875926,0
1058,羅德隆廢墟,,,,4,10,80,6,6,6,0,3,0,76,460869,0
1059,納葛蘭競技場,,,,4,10,80,6,6,6,0,3,0,76,460867,0
1060,勾角地,,,,4,10,80,6,6,6,0,3,0,76,0,0
1061,蒼穹領域,,,,4,10,80,6,6,6,0,3,0,76,0,0
1062,達拉然下水道,,,,4,10,80,6,6,6,0,3,0,76,460862,0
1063,劍刃競技場,,,,4,10,80,6,6,6,0,3,0,76,460861,0
1064,玄鴉堡競技場,,,,4,10,80,6,6,6,0,3,0,76,1389174,0
1065,所有競技場,,,,4,60,80,6,6,6,0,1,0,76,525915,0
1066,瑪卓薩斯大競技場,,,,4,20,80,5,0,5,1,5,0,8,3759934,0
1068,神秘競技場,,,,4,60,60,5,0,5,1,5,0,9,0,0
1070,羅德隆廢墟,,,,3,50,80,5,0,15,1,5,0,96,460869,0
1071,瑪卓薩斯大競技場,,,,4,10,80,6,6,6,0,3,0,76,3759934,0
1075,深風引爆,亂鬥,,,3,50,80,10,8,15,1,5,0,32,875925,0
1076,神秘之爐,,,,4,60,80,5,0,5,1,5,0,8,525915,0
1077,神秘之爐,,,,4,60,80,0,0,6,0,1,0,76,0,0
1088,諾庫敦試煉場,,,,4,61,80,5,0,5,1,5,0,8,0,0
1092,諾庫敦試煉場,,,,4,61,80,6,6,6,1,3,0,76,0,0
1094,所有競技場,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1095,所有競技場,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1096,所有競技場,,,,4,20,80,5,0,5,1,3,0,0,525915,0
1101,戰場閃擊戰,,,,3,60,80,8,6,8,1,2,0,776,136324,0
1102,戰歌峽谷,亂鬥,,,3,60,80,8,6,8,1,2,0,520,136365,0
1103,雙子峰,亂鬥,,,3,60,80,8,6,8,1,2,0,520,525913,0
1104,吉爾尼斯之戰,亂鬥,,,3,60,80,8,6,8,1,2,0,520,460871,0
1105,碎銀礦坑,亂鬥,,,3,60,80,8,6,8,1,2,0,520,791650,0
1106,科特魔古神廟,亂鬥,,,3,60,80,8,6,8,1,2,0,520,791651,0
1107,暴風之眼,亂鬥,,,3,60,80,8,6,8,1,2,0,520,460625,0
1108,阿拉希盆地,亂鬥,,,3,60,80,8,6,8,1,2,0,520,136322,0
1109,深風峽谷,亂鬥,,,3,60,80,8,6,8,1,2,0,520,875925,0
1110,礦運深谷,軌道爭奪戰,,,3,19,80,10,5,10,1,5,0,16,6031736,0
1111,激烈鬥爭,亂鬥,,,3,50,70,6,6,6,1,3,0,96,0,0
1112,諾庫敦試煉場,,,,4,61,70,6,6,6,1,3,0,104,0,0
1118,礦運深谷,亂鬥,,,3,60,80,8,6,8,1,2,0,520,460625,0
